185.217.136.67:1337
8.219.97.248:80
4.155.2.13:9480
50.218.57.69:80
50.222.245.46:80
50.171.68.130:80
50.222.245.45:80
50.217.226.45:80
50.207.199.82:80
50.174.145.9:80
50.218.57.70:80
50.204.219.227:80
50.217.226.46:80
50.239.72.19:80
50.204.219.229:80
50.172.75.125:80
50.168.72.119:80
50.231.172.74:80
50.169.117.90:80
50.223.246.237:80
50.202.75.26:80
32.223.6.94:80
50.174.145.12:80
50.218.57.71:80
50.204.219.228:80
47.88.3.19:8080
50.174.145.11:80
50.168.163.181:80
50.173.182.90:80
70.184.195.199:80
50.171.122.30:80
50.222.245.50:80
50.168.72.117:80
50.174.7.155:80
50.204.219.230:80
50.222.245.44:80
50.172.75.120:80
51.89.73.162:80
50.174.145.14:80
3.37.125.76:3128
50.218.57.66:80
50.207.199.81:80
50.172.39.98:80
50.207.199.80:80
50.144.161.167:80
50.168.163.177:80
35.79.120.242:3128
44.195.247.145:80
50.175.31.192:80
50.223.239.185:80
50.168.72.115:80
12.186.205.121:80
50.204.219.225:80
50.220.168.134:80
50.218.57.64:80
50.223.239.161:80
50.168.163.183:80
50.223.239.166:80
50.174.145.15:80
50.172.23.10:80
50.175.212.79:80
50.174.7.154:80
50.174.7.156:80
50.204.219.226:80
50.174.7.152:80
50.223.239.194:80
50.232.104.86:80
3.12.144.146:3128
50.172.75.123:80
93.177.67.178:80
50.207.199.85:80
50.168.72.118:80
50.174.145.13:80
50.217.226.47:80
50.169.117.101:80
54.248.238.110:80
50.174.7.157:80
50.168.210.239:80
50.173.55.149:80
104.222.32.110:80
50.172.75.122:80
50.223.246.226:80
50.230.222.202:80
50.218.57.67:80
20.210.113.32:8123
50.168.72.122:80
50.217.226.42:80
50.168.72.114:80
50.217.226.43:80
50.222.245.42:80
50.174.7.158:80
50.207.199.83:80
50.122.86.118:80
50.173.55.144:80
50.172.75.127:80
50.168.72.116:80
50.217.226.44:80
44.219.175.186:80
18.223.25.15:80
50.168.163.178:80
216.169.73.65:34679
103.78.36.163:46977
185.208.102.125:8080
103.178.194.122:1111
222.252.24.246:8080
200.111.249.197:999
203.128.71.92:8080
202.162.43.241:8080
190.217.7.80:999
154.208.10.126:80
162.245.81.45:80
38.54.71.67:80
162.223.94.166:80
43.255.113.232:8081
37.27.82.72:80
202.131.65.110:80
74.48.7.43:80
154.16.16.20:80
212.107.29.43:80
210.212.39.130:8080
51.210.19.141:80
154.65.39.7:80
95.217.178.175:80
173.213.71.6:80
193.151.153.142:8080
97.107.131.77:80
162.223.94.164:80
